Dataset,Column,Data Type,Missing,Unique Values
Sales,date,object,0,1765
Sales,store_id,int64,0,50
Sales,sku_id,int64,0,200
Sales,customer_id,float64,159821,5000
Sales,quantity,int64,0,6
Sales,unit_price,float64,0,1227
Sales,total_value,float64,0,6062
Sales,channel,object,0,5
Sales,discount_pct,float64,0,7
Inventory,store_id,int64,0,50
Inventory,sku_id,int64,0,200
Inventory,stock_on_hand,int64,0,398
Inventory,reorder_point,int64,0,189
Inventory,safety_stock,int64,0,100
Inventory,last_restock_date,object,0,89
Inventory,snapshot_date,object,0,1
SKU,sku_id,int64,0,200
SKU,sku_name,object,0,200
SKU,category,object,0,7
SKU,subcategory,object,0,33
SKU,unit_price,float64,0,196
SKU,cost_price,float64,0,196
SKU,brand,object,0,5
Stores,store_id,int64,0,50
Stores,store_name,object,0,50
Stores,city,object,0,3
Stores,store_type,object,0,3
Stores,opening_date,object,0,50
Customers,cust_id,int64,0,5000
Customers,age,int64,0,10
Customers,gender,object,0,2
Customers,city,object,0,3
Customers,loyalty_segment,object,0,3
Customers,preferred_channel,object,0,5
Customers,registration_date,object,0,1675
Promotions,promo_name,object,0,33
Promotions,start_date,object,0,33
Promotions,end_date,object,0,33
Promotions,discount_pct,int64,0,6
Promotions,promo_type,object,0,6
Promotions,promo_id,int64,0,33
