SKU,Current Stock,Risk Score,Risk Level,Inventory Status,Expected Risk Level,Risk Level Correct,Expected Inventory Status,Inventory Status Correct,Overall Correct
1101,300,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1021,425,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1200,252,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1041,220,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1092,170,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1094,262,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1143,293,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1111,271,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1119,342,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1025,126,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1066,181,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1100,136,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1183,94,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1097,139,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1110,332,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1170,303,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1017,176,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1171,132,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1197,154,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1043,137,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1086,194,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1155,108,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1029,402,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1164,82,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1191,296,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1039,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1081,356,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1093,289,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1131,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1137,341,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1182,201,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1185,172,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1033,141,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1073,73,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1115,202,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
